Date,Time,User,Category,Group,Item,Qty Purchased,Total Amount,Unit Price,Supplier Name
7/14/2026 9:43:42,7/14/2026 9:43:42,USR-002,Nafaka,Skonzi,"Tamu : Bakery Skonzi-4pcs@1,600",4,"1,600",400,tamu
7/14/2026 18:59:15,7/14/2026 18:59:15,USR-002,Vitamu,Pipi/Bigijii,Pipi:Bigijii@100,100,"7,000",70,ma pipi
7/14/2026 18:59:18,7/14/2026 18:59:18,USR-002,Gesi:Mtungi,Gesi:Mtungi,Taifa(L),1,"55,000","55,000",gas
7/14/2026 19:02:18,7/14/2026 19:02:18,USR-002,Viungo,Mayai: Kizungu,Mayai@Kizungu,60,"19,000",317,MSB
7/14/2026 19:07:24,7/14/2026 19:07:24,USR-002,Nafaka,Mkate,Tamu : Bakery Mkate-1pcs@800,6,"4,800",800,TAMU
7/14/2026 19:07:29,7/14/2026 19:07:29,USR-002,Nafaka,Mkate,"MSB : Mkate Loaf-4pcs@1,600",8,"3,200",400,MSB
7/15/2026 15:23:58,7/15/2026 15:23:58,USR-002,Gesi:Mtungi,Gesi:Mtungi,Oryx(L),1,"56,000","56,000",gas
7/15/2026 15:24:02,7/15/2026 15:24:02,USR-002,Gesi:Mtungi,Gesi:Mtungi,Oryx(S),2,"49,000","24,500",gas
7/15/2026 19:45:21,7/15/2026 19:45:21,USR-001,Usafi:Jumla,Sabuni : UNGA,Kleesoft-180g,40,"17,500",438,Tabasam
7/15/2026 19:45:25,7/15/2026 19:45:25,USR-001,Usafi:Jumla,Sabuni : UNGA,Niceone-180g,40,"17,500",438,Tabasam
7/15/2026 19:45:28,7/15/2026 19:45:28,USR-001,Usafi:Jumla,Sabuni : UNGA,Doffi-160g,40,"17,500",438,Tabasam
7/15/2026 19:45:31,7/15/2026 19:45:31,USR-001,Usafi:Jumla,Sabuni : UNGA,Niceone-400g,30,"26,500",883,Tabasam
7/17/2026 15:10:37,7/17/2026 15:10:37,USR-002,Vinywaji,Bia,Safari:(Lg),20,"36,000","1,800",🤷‍♂️
7/17/2026 15:10:41,7/17/2026 15:10:41,USR-002,Vinywaji,Bia,Serengeti:(Lg),20,"36,000","1,800",🤷‍♂️
7/17/2026 15:10:44,7/17/2026 15:10:44,USR-002,Vitamu,Pipi/Bigijii,Pipi:Bigijii@50,200,"7,000",35,musa ma pipi
